year,origin_fips,origin_state,origin_state_name,origin_type,dest_fips,dest_state,dest_state_name,dest_type,irs_returns_out,irs_returns_in,irs_individuals_out,irs_individuals_in,irs_agi_out,irs_agi_in,acs_migrants,acs_moe,acs_moe_pct,acs_reliable
2011,12,FL,Florida,state,35,NM,New Mexico,state,,,,,,,1376,781,0.5676,False
2011,12,FL,Florida,state,32,NV,Nevada,state,,,,,,,3527,1810,0.5132,False
2011,12,FL,Florida,state,36,NY,New York,state,,,,,,,59288,7171,0.121,True
2011,12,FL,Florida,state,39,OH,Ohio,state,,,,,,,18191,3264,0.1794,True
2011,12,FL,Florida,state,40,OK,Oklahoma,state,,,,,,,2600,1168,0.4492,True
2011,12,FL,Florida,state,41,OR,Oregon,state,,,,,,,3315,2046,0.6172,False
2011,12,FL,Florida,state,42,PA,Pennsylvania,state,,,,,,,20821,4267,0.2049,True
2011,12,FL,Florida,state,72,PR,Puerto Rico,territory,,,,,,,21611,5621,0.2601,True
2011,12,FL,Florida,state,44,RI,Rhode Island,state,,,,,,,5002,2668,0.5334,False
2011,12,FL,Florida,state,45,SC,South Carolina,state,,,,,,,11953,2956,0.2473,True
2011,12,FL,Florida,state,46,SD,South Dakota,state,,,,,,,716,1027,1.4344,False
2011,12,FL,Florida,state,47,TN,Tennessee,state,,,,,,,10451,4102,0.3925,True
2011,12,FL,Florida,state,48,TX,Texas,state,,,,,,,25532,4638,0.1817,True
2011,12,FL,Florida,state,49,UT,Utah,state,,,,,,,2343,1891,0.8071,False
2011,12,FL,Florida,state,51,VA,Virginia,state,,,,,,,16614,3087,0.1858,True
2011,12,FL,Florida,state,50,VT,Vermont,state,,,,,,,2019,1616,0.8004,False
2011,12,FL,Florida,state,53,WA,Washington,state,,,,,,,6339,2687,0.4239,True
2011,12,FL,Florida,state,55,WI,Wisconsin,state,,,,,,,7412,2467,0.3328,True
2011,12,FL,Florida,state,54,WV,West Virginia,state,,,,,,,4964,2202,0.4436,True
2011,12,FL,Florida,state,56,WY,Wyoming,state,,,,,,,846,725,0.857,False
2011,13,GA,Georgia,state,02,AK,Alaska,state,,,,,,,1079,765,0.709,False
2011,13,GA,Georgia,state,01,AL,Alabama,state,,,,,,,18799,5015,0.2668,True
2011,13,GA,Georgia,state,05,AR,Arkansas,state,,,,,,,2112,1366,0.6468,False
2011,13,GA,Georgia,state,04,AZ,Arizona,state,,,,,,,4292,1849,0.4308,True
2011,13,GA,Georgia,state,06,CA,California,state,,,,,,,14949,3387,0.2266,True
2011,13,GA,Georgia,state,08,CO,Colorado,state,,,,,,,2325,1399,0.6017,False
2011,13,GA,Georgia,state,09,CT,Connecticut,state,,,,,,,709,455,0.6417,False
2011,13,GA,Georgia,state,11,DC,District of Columbia,dc,,,,,,,364,283,0.7775,False
2011,13,GA,Georgia,state,10,DE,Delaware,state,,,,,,,619,606,0.979,False
2011,13,GA,Georgia,state,12,FL,Florida,state,,,,,,,42666,5232,0.1226,True
2011,13,GA,Georgia,state,57,FOR,Foreign Country,foreign,,,,,,,41298,5237,0.1268,True
2011,13,GA,Georgia,state,15,HI,Hawaii,state,,,,,,,1006,883,0.8777,False
